#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  11200      1.08e+00    1.95e+00      1.18e-02    1.15e-02      5.70e-02    1.03e-01    3.6e-04
  11300      2.09e+00    2.08e+00      9.96e-03    1.05e-02      1.10e-01    1.10e-01    3.6e-04
  11400      1.27e+00    8.03e-01      1.46e-02    1.51e-02      6.67e-02    4.21e-02    3.6e-04
  11500      1.28e+00    1.40e+00      4.05e-03    4.22e-03      6.77e-02    7.40e-02    3.6e-04
  11600      2.27e+00    6.39e-01      6.74e-04    3.58e-03      1.20e-01    3.37e-02    3.6e-04
  11700      7.93e-01    1.50e+00      1.45e-02    1.40e-02      4.16e-02    7.92e-02    3.6e-04
  11800      5.99e-01    1.40e+00      1.09e-02    9.79e-03      3.14e-02    7.36e-02    3.6e-04
  11900      2.47e+00    1.52e+00      6.30e-03    6.71e-03      1.30e-01    8.00e-02    3.6e-04
  12000      9.46e-01    9.31e-01      1.14e-02    1.14e-02      4.98e-02    4.90e-02    3.6e-04
  12100      7.08e-01    1.58e+00      4.04e-02    3.97e-02      3.48e-02    8.23e-02    3.6e-04
  12200      1.73e+00    2.36e+00      5.77e-03    1.15e-02      9.15e-02    1.24e-01    3.6e-04
  12300      9.52e-01    1.20e+00      6.77e-03    7.00e-03      5.02e-02    6.32e-02    3.6e-04
  12400      1.48e+00    1.46e+00      1.33e-02    1.14e-02      7.78e-02    7.67e-02    3.6e-04
  12500      2.42e+00    2.21e+00      2.71e-02    2.83e-02      1.27e-01    1.16e-01    3.6e-04
  12600      1.43e+00    1.92e+00      1.22e-02    9.88e-03      7.54e-02    1.01e-01    3.6e-04
  12700      2.93e+00    5.56e-01      3.31e-02    2.45e-02      1.54e-01    2.82e-02    3.6e-04
  12800      1.47e+00    1.19e+00      8.99e-03    8.82e-03      7.73e-02    6.28e-02    3.6e-04
  12900      1.33e+00    7.63e-01      1.69e-02    1.61e-02      6.98e-02    3.99e-02    3.6e-04
  13000      2.64e+00    2.63e+00      4.35e-02    4.08e-02      1.39e-01    1.38e-01    3.6e-04
  13100      1.66e+00    1.28e+00      9.74e-03    9.28e-03      8.73e-02    6.76e-02    3.6e-04
  13200      1.46e+00    1.04e+00      3.13e-02    3.23e-02      7.64e-02    5.38e-02    3.6e-04
  13300      9.66e-01    2.31e+00      3.86e-02    3.59e-02      4.93e-02    1.21e-01    3.6e-04
  13400      1.37e+00    8.50e-01      8.62e-03    9.84e-03      7.21e-02    4.47e-02    3.6e-04
  13500      2.30e+00    6.50e-01      1.14e-02    1.66e-02      1.21e-01    3.38e-02    3.6e-04
  13600      7.83e-01    8.66e-01      1.58e-03    8.23e-04      4.13e-02    4.57e-02    3.6e-04
  13700      7.15e-01    1.51e+00      9.83e-03    1.20e-02      3.76e-02    7.96e-02    3.6e-04
  13800      4.53e-01    1.39e+00      1.91e-02    2.06e-02      2.30e-02    7.31e-02    3.6e-04
  13900      9.23e-01    1.98e+00      2.76e-02    2.81e-02      4.78e-02    1.04e-01    3.6e-04
  14000      3.31e+00    2.26e+00      2.78e-02    3.07e-02      1.75e-01    1.19e-01    3.6e-04
  14100      9.02e-01    1.44e+00      2.49e-02    2.37e-02      4.68e-02    7.54e-02    3.6e-04
  14200      2.32e+00    1.61e+00      6.86e-02    6.73e-02      1.20e-01    8.19e-02    3.6e-04
  14300      6.38e-01    7.44e-01      5.40e-03    5.87e-03      3.36e-02    3.92e-02    3.6e-04
  14400      2.93e+00    1.73e+00      3.03e-03    6.75e-03      1.54e-01    9.13e-02    3.6e-04
  14500      2.38e+00    1.55e+00      5.61e-03    7.85e-03      1.25e-01    8.18e-02    3.6e-04
  14600      3.20e-01    7.51e-01      8.59e-03    8.49e-03      1.66e-02    3.95e-02    3.6e-04
